YEAR,DESCRIPTION,WEIGHT,UNITS,1,2,3,4,5,6,7,8,9,10,11,12
2015,NATURAL,1,12,44,12,14,70,28,43,25,16,22,72,17,87
2015,NATURAL,200,24,0,0,2,0,0,1,0,4,3,2,0,2
2015,SWEET,750,12,4,5,3,5,7,2,1,2,5,2,2,16
2015,SALTED,750,12,4,3,1,11,24,7,13,28,15,22,5,9
2015,NATURAL,700,12,23,14,25,30,40,20,7,19,37,14,15,42
2015,NATURAL,1,12,86,104,99,102,83,148,112,94,122,102,87,83
2015,SWEET,750,12,1,6,1,6,4,2,1,0,0,0,3,7
2015,SALTED,750,12,0,0,0,0,1,0,0,5,8,5,5,8
2015,NATURAL,700,12,15,19,12,25,21,31,26,65,22,15,21,32
2015,NATURAL,1,12,38,37,43,49,58,52,41,33,44,37,40,48
2015,NATURAL,200,24,1,1,0,2,6,5,0,0,0,0,0,0
2015,SWEET,750,12,16,1,4,7,5,2,1,3,3,3,3,9
2015,SALTED,750,12,0,1,1,0,16,3,3,28,5,19,27,14
2015,NATURAL,700,12,8,16,17,60,23,12,13,34,23,15,32,39
2015,NATURAL,1,12,13,10,8,13,20,10,19,5,20,24,14,39
2015,NATURAL,200,24,0,0,2,1,0,1,0,0,0,7,2,1
2015,SWEET,750,12,11,6,8,9,10,4,10,11,24,7,9,15
2015,SALTED,750,12,1,1,5,0,9,5,7,16,29,8,31,25
2015,NATURAL,700,12,8,6,11,14,9,30,10,14,10,11,10,26
2015,NATURAL,1,12,13,9,10,17,16,20,18,28,15,27,22,13
2015,NATURAL,200,24,0,0,3,1,9,2,0,2,0,3,1,2
2015,SWEET,750,12,2,2,3,1,1,4,1,2,6,1,3,10
2015,SALTED,750,12,0,0,0,1,0,0,1,7,13,4,1,7
2015,NATURAL,700,12,42,14,37,53,52,42,19,34,18,49,71,37
2015,NATURAL,1,12,42,17,52,29,24,43,7,28,25,20,66,27
2015,NATURAL,200,24,0,0,1,2,2,3,1,1,6,1,3,3
2015,SWEET,750,12,12,4,11,8,9,13,1,2,10,4,7,18
2015,SALTED,750,12,1,4,0,0,10,5,3,36,11,35,10,17
2015,NATURAL,700,12,34,54,31,78,62,41,49,69,51,54,54,77
2015,NATURAL,1,12,37,44,41,50,37,35,57,67,71,61,57,57
2015,NATURAL,200,24,0,0,3,6,7,3,12,0,1,1,5,1
2015,SWEET,750,12,2,1,2,4,6,9,2,5,19,16,3,25
2015,SALTED,750,12,1,0,0,0,1,6,0,22,30,15,20,12
2015,NATURAL,700,12,18,31,15,46,49,60,21,19,49,33,36,50
2015,NATURAL,1,12,29,25,48,55,49,45,67,38,120,65,56,37
2015,NATURAL,200,24,3,5,24,38,3,4,27,26,16,5,15,22
2015,SWEET,750,12,5,13,3,13,6,6,5,1,30,12,2,12
2015,SALTED,750,12,3,0,0,2,5,8,0,7,22,27,5,2
2015,NATURAL,700,12,10,7,4,12,12,24,20,14,10,14,5,9
2015,NATURAL,1,12,14,13,11,8,5,8,19,22,8,24,10,19
2015,NATURAL,200,24,0,0,1,0,0,0,1,2,6,0,2,5
2015,SWEET,750,12,0,1,0,2,17,10,5,4,11,4,9,9
2015,SALTED,750,12,0,1,0,0,1,3,2,21,16,6,8,12
2015,NATURAL,700,12,64,47,35,56,79,43,102,35,57,101,58,76
2015,NATURAL,1,12,37,30,38,63,53,46,56,46,52,50,47,45
2015,NATURAL,200,24,3,8,17,12,10,18,16,15,8,20,5,61
2015,SWEET,750,12,8,8,4,2,4,16,3,2,6,3,8,20
2015,SALTED,750,12,0,1,0,0,2,7,1,40,5,9,7,9
2015,NATURAL,700,12,38,41,57,52,37,44,53,40,16,35,34,37
